,file_name,last_modified,last_accessed,file_size,url
18,2020-11-02_1018_Collier_18506457390.mp3,2022-04-29_022746,2022-04-29_023101,6003765,https://github.com/mconsulting/legal/blob/main/files/2020-11-02_1018_Collier_18506457390.mp3
19,2020-11-02_1125_Collier_Pretrial_violation_narrative.png,2022-04-29_022746,2022-04-29_023100,144441,https://github.com/mconsulting/legal/blob/main/files/2020-11-02_1125_Collier_Pretrial_violation_narrative.png
20,2020-11-02_1414_Collier_email_to_Gaskins.pdf,2022-04-29_022746,2022-04-29_023100,189600,https://github.com/mconsulting/legal/blob/main/files/2020-11-02_1414_Collier_email_to_Gaskins.pdf
21,2020-11-02_1414_Collier_email_to_Gaskins.png,2022-04-29_022746,2022-04-29_023100,85362,https://github.com/mconsulting/legal/blob/main/files/2020-11-02_1414_Collier_email_to_Gaskins.png
22,2020-11-06_1346_Lance_Mason_to_dallas.massaflpd2_lauren.brookerflpd2.com.msg,2022-04-29_022746,2022-04-29_023100,73216,https://github.com/mconsulting/legal/blob/main/files/2020-11-06_1346_Lance_Mason_to_dallas.massaflpd2_lauren.brookerflpd2.com.msg
23,2020-11-09_1137_Lauren_Brooker_to_Lance_Mason_Re_Lance_Mason.msg,2022-04-29_022746,2022-04-29_023100,122880,https://github.com/mconsulting/legal/blob/main/files/2020-11-09_1137_Lauren_Brooker_to_Lance_Mason_Re_Lance_Mason.msg
24,2020-11-09_1315_FSUPD_post_hearing_no_discovery8506441234.mp3,2022-04-29_022746,2022-04-29_023100,1339320,https://github.com/mconsulting/legal/blob/main/files/2020-11-09_1315_FSUPD_post_hearing_no_discovery8506441234.mp3
25,2020-11-09_1319_Call_to_chief_8506441234.mp3,2022-04-29_022747,2022-04-29_023100,693300,https://github.com/mconsulting/legal/blob/main/files/2020-11-09_1319_Call_to_chief_8506441234.mp3
26,2020-11-09_1557_Gaskins_revokes_pretrial.pdf,2022-04-29_022747,2022-04-29_023100,43906,https://github.com/mconsulting/legal/blob/main/files/2020-11-09_1557_Gaskins_revokes_pretrial.pdf
27,2020-11-09_1652_Show_cause_pretrial_violation.pdf,2022-04-29_022747,2022-04-29_023100,35102,https://github.com/mconsulting/legal/blob/main/files/2020-11-09_1652_Show_cause_pretrial_violation.pdf
